P,PID,ID,Author,Title,Vol,Contents
1,1912739,1,国民文庫刊行会,国訳漢文大成文学部,1,1,01_楚辞
1,1912763,1,国民文庫刊行会,国訳漢文大成文学部,2,1,02_文選-1
1,1912796,1,国民文庫刊行会,国訳漢文大成文学部,3,1,03_文選-2
1,1912835,1,国民文庫刊行会,国訳漢文大成文学部,4,1,04_文選-3
1,1912866,1,国民文庫刊行会,国訳漢文大成文学部,5,1,05_唐詩選
1,1912891,1,国民文庫刊行会,国訳漢文大成文学部,6,1,06_三体詩
1,1912919,1,国民文庫刊行会,国訳漢文大成文学部,7,1,07_唐宋八家文_1
1,1912944,1,国民文庫刊行会,国訳漢文大成文学部,8,1,08_唐宋八家文_2
1,1912963,1,国民文庫刊行会,国訳漢文大成文学部,9,1,09_西廂記
1,1912976,1,国民文庫刊行会,国訳漢文大成文学部,10,1,10_漢宮秋
1,1912991,1,国民文庫刊行会,国訳漢文大成文学部,11,1,11_桃花扇
1,1913008,1,国民文庫刊行会,国訳漢文大成文学部,12,1,12_晋唐小説
1,1913024,1,国民文庫刊行会,国訳漢文大成文学部,13,1,13_剪灯新話
1,1913038,1,国民文庫刊行会,国訳漢文大成文学部,14,1,14_紅楼夢_1
1,1913052,1,国民文庫刊行会,国訳漢文大成文学部,15,1,15_紅楼夢_2
1,1913083,1,国民文庫刊行会,国訳漢文大成文学部,17,1,17_長生殿
1,1913102,1,国民文庫刊行会,国訳漢文大成文学部,18,1,18_水滸伝-1
1,1913118,1,国民文庫刊行会,国訳漢文大成文学部,19,1,19_水滸伝-2
1,1913134,1,国民文庫刊行会,国訳漢文大成文学部,20,1,20_水滸伝-3
1,1172207,1,国民文庫刊行会,国訳漢文大成経子史部,3,1,経子史部_03_詩経
1,926465,1,国民文庫刊行会,国訳漢文大成経子史部,15,1,経子史部_15_史記列伝-1
1,965862,1,国民文庫刊行会,国訳漢文大成経子史部,20,1,経子史部_20_呂氏春秋
1,1239999,2,国民文庫刊行会,続国訳漢文大成文学部,1,続1,01_李白_1
1,1240000,2,国民文庫刊行会,続国訳漢文大成文学部,2,続1,01_李白_2
1,1240001,2,国民文庫刊行会,続国訳漢文大成文学部,3,続1,03_李白_3
1,1240002,2,国民文庫刊行会,続国訳漢文大成文学部,4,続1,04_杜甫_1
1,1240003,2,国民文庫刊行会,続国訳漢文大成文学部,5,続1,05_杜甫_2
1,1240004,2,国民文庫刊行会,続国訳漢文大成文学部,6,続1,06a_杜甫_3a
1,1239692,2,国民文庫刊行会,続国訳漢文大成文学部,6,続1,06b_杜甫_3b
1,1239703,2,国民文庫刊行会,続国訳漢文大成文学部,7,続1,07_韓愈-1
1,1239728,2,国民文庫刊行会,続国訳漢文大成文学部,8,続1,08_韓愈-2
1,1239752,2,国民文庫刊行会,続国訳漢文大成文学部,9,続1,09_白楽天_1
1,1239780,2,国民文庫刊行会,続国訳漢文大成文学部,10,続1,10_白楽天_2
1,1240005,2,国民文庫刊行会,続国訳漢文大成文学部,11,続1,11_白楽天_3
1,1240006,2,国民文庫刊行会,続国訳漢文大成文学部,12,続1,12_白楽天_4
1,1240007,2,国民文庫刊行会,続国訳漢文大成文学部,13,続1,13_蘇東坡_1
1,1240008,2,国民文庫刊行会,続国訳漢文大成文学部,14,続1,14_蘇東坡_2
1,1240009,2,国民文庫刊行会,続国訳漢文大成文学部,15,続1,15_蘇東坡_3
1,1240010,2,国民文庫刊行会,続国訳漢文大成文学部,16,続1,16_蘇東坡_4
1,1240011,2,国民文庫刊行会,続国訳漢文大成文学部,17,続1,17a_蘇東坡_5
1,1240012,2,国民文庫刊行会,続国訳漢文大成文学部,17,続1,17b_蘇東坡_6
1,1240013,2,国民文庫刊行会,続国訳漢文大成文学部,18,続1,18_陶淵明・王維
1,1240014,2,国民文庫刊行会,続国訳漢文大成文学部,19,続1,19_高青邱_1
1,1240015,2,国民文庫刊行会,続国訳漢文大成文学部,20,続1,20_高青邱_2
1,1240016,2,国民文庫刊行会,続国訳漢文大成文学部,21,続1,20_高青邱_3
1,1240017,2,国民文庫刊行会,続国訳漢文大成文学部,22,続1,22_高青邱_4
1,1239800,2,国民文庫刊行会,続国訳漢文大成経子史部,1,続1,資治通鑑-1
1,1239917,2,国民文庫刊行会,続国訳漢文大成経子史部,6,続1,資治通鑑-6
1,1239993,2,国民文庫刊行会,続国訳漢文大成経子史部,19,続1,二十二史箚記-1
1,1239994,2,国民文庫刊行会,続国訳漢文大成経子史部,20,続1,二十二史箚記-2
1,1239995,2,国民文庫刊行会,続国訳漢文大成経子史部,21,続1,宋名臣言行錄
1,1172018,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,2,02浄土三部経他七経
1,1172034,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,3,03般若経第一
1,1172051,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,5,05涅槃経第一
1,1172067,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,6,06涅槃経第二
1,1172084,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,7,07楞伽経・首楞厳経・円覚経
1,1172098,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,8,08真言三部経・解深密経
1,1172121,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,9,09華厳経第一
1,1172138,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,10,10華厳経第二
1,1172156,3,国訳大蔵経編輯部,昭和新纂國譯大藏經経典部,11,11華厳経第三
1,1172199,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,1,
1,1172243,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,3,
1,1172303,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,6,
1,1172316,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,7,
1,1172327,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,8,
1,1172341,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,9,
1,1172352,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,10,22日本支那聖道門聖典
1,1172372,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,11,
1,1172488,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,18,
1,1172537,4,国訳大蔵経編輯部,昭和新纂國譯大藏經宗典部,21,
1,1018096,5,塚本哲三等編,有朋堂文庫,0,古今和歌集・後撰和歌集
1,1223285,5,塚本哲三等編,有朋堂文庫,0,太平記-1
1,1223293,5,塚本哲三等編,有朋堂文庫,0,太平記-2
1,1018122,5,塚本哲三等編,有朋堂文庫,0,山家和歌集
1,1018110,5,塚本哲三等編,有朋堂文庫,0,新古今和歌集・新葉和歌集
1,964449,5,塚本哲三等編,有朋堂文庫,0,保元物語・平治物語・鎌倉北條九代記
1,1085953,5,塚本哲三等編,有朋堂文庫,0,源氏物語
1,970181,5,塚本哲三等編,有朋堂文庫,0,通俗三国志-1
1,970182,5,塚本哲三等編,有朋堂文庫,0,通俗三国志-2
1,1018102,5,塚本哲三等編,有朋堂文庫,0,金葉和歌集
1,1018127,5,塚本哲三等編,有朋堂文庫,0,絵本西遊記
1,1913519,5,塚本哲三等編,有朋堂文庫,1,詔勅集
1,1913523,5,塚本哲三等編,有朋堂文庫,2,源氏物語-1
1,1913542,5,塚本哲三等編,有朋堂文庫,4,源氏物語-3
1,1913547,5,塚本哲三等編,有朋堂文庫,5,源氏物語-4
1,1913562,5,塚本哲三等編,有朋堂文庫,7,徒然草
1,1913582,,5,塚本哲三等編,有朋堂文庫,9,古今和歌集・後撰和歌集_1018096_0001
1,1913591,5,塚本哲三等編,有朋堂文庫,10,金葉和歌集
1,1913616,5,塚本哲三等編,有朋堂文庫,13,四鏡
1,1913627,5,塚本哲三等編,有朋堂文庫,14,保元物語・平治物語・鎌倉北條九代記
1,1913524,5,塚本哲三等編,有朋堂文庫,20,義経記
1,1913536,5,塚本哲三等編,有朋堂文庫,21,神皇正統記
1,1913546,5,塚本哲三等編,有朋堂文庫,22,謡曲集-1
